t,r,y,ym,u,t1,t2,t3,ypb
34.951,0.2609211,5.855396,0,3,0,0,0,0
35.051,0.2615907,5.859736,0,3,0,0,0,0
35.152,0.2622665,5.8648,0,3,0,0,0,0
35.252,0.2629348,5.873843,0,3,0,0,0,0
35.352,0.2636025,5.870587,0,3,0,0,0,0
35.452,0.2642696,5.866247,0,3,0,0,0,0
35.552,0.264936,5.864077,0,3,0,0,0,0
35.652,0.2656017,5.857205,0,3,0,0,0,0
35.752,0.2662668,5.854673,0,3,0,0,0,0
35.852,0.2669313,5.866971,0,3,0,0,0,0
35.951,0.2675884,5.874928,0,3,0,0,0,0
36.051,0.2682515,5.870949,0,3,0,0,0,0
36.151,0.268914,5.868055,0,3,0,0,0,0
36.252,0.2695824,5.861545,0,3,0,0,0,0
36.352,0.2702436,5.863353,0,3,0,0,0,0
36.452,0.270904,5.857566,0,3,0,0,0,0
36.552,0.2715638,5.86046,0,3,0,0,0,0
36.652,0.2722229,5.874204,0,3,0,0,0,0
36.751,0.2728748,5.871311,0,3,0,0,0,0
36.852,0.2735392,5.874928,0,3,0,0,0,0
36.952,0.2741963,5.868055,0,3,0,0,0,0
37.051,0.2748461,5.862268,0,3,0,0,0,0
37.152,0.2755084,5.857205,0,3,0,0,0,0
37.252,0.2761635,5.854673,0,3,0,0,0,0
37.351,0.2768114,5.863715,0,3,0,0,0,0
37.452,0.2774716,5.86263,0,3,0,0,0,0
37.552,0.2781246,5.860822,0,3,0,0,0,0
37.652,0.278777,5.8648,0,3,0,0,0,0
37.752,0.2794286,5.868779,0,3,0,0,0,0
37.851,0.280073,5.867694,0,3,0,0,0,0
37.952,0.2807298,5.857205,0,3,0,0,0,0
38.052,0.2813794,5.868055,0,3,0,0,0,0
38.152,0.2820283,5.864439,0,3,0,0,0,0
38.251,0.28267,5.861545,0,3,0,0,0,0
38.351,0.2833175,5.873843,0,3,0,0,0,0
38.452,0.2839707,5.873843,0,3,0,0,0,0
38.552,0.2846168,5.872396,0,3,0,0,0,0
38.652,0.2852622,5.861183,0,3,0,0,0,0
38.752,0.2859069,5.859013,0,3,0,0,0,0
38.852,0.2865509,5.866609,0,3,0,0,0,0
38.952,0.2871941,5.873481,0,3,0,0,0,0
39.052,0.2878367,5.873481,0,3,0,0,0,0
39.151,0.2884721,5.883246,0,3,0,0,0,0
39.251,0.2891133,5.885417,0,3,0,0,0,0
39.352,0.2897601,5.879991,0,3,0,0,0,0
39.452,0.2903998,5.876374,0,3,0,0,0,0
39.552,0.2910388,5.866247,0,3,0,0,0,0
39.651,0.2916707,5.866247,0,3,0,0,0,0
39.752,0.2923146,5.869864,0,3,0,0,0,0
