t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
14.900228,0.000000,6.341200,2.570692,3.034901,0.000000,0.000000,-9.208753,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.000232,0.000000,6.341200,2.592714,3.024988,0.000000,0.000000,-9.113509,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.100236,0.000000,6.341200,2.614673,3.005160,0.000000,0.000000,-8.976620,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.200237,0.000000,6.341200,2.636567,3.015074,0.000000,0.000000,-8.956036,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
15.300240,0.000000,6.341200,2.658395,3.005160,0.000000,0.000000,-8.855562,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.400244,0.000000,6.341200,2.680158,3.015074,0.000000,0.000000,-8.832442,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.500248,0.000000,6.341200,2.701854,2.985328,0.000000,0.000000,-8.650116,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.600253,0.000000,6.341200,2.723483,3.005160,0.000000,0.000000,-8.662775,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.700257,0.000000,6.341200,2.745043,3.015074,0.000000,0.000000,-8.635912,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.800260,0.000000,6.341200,2.766533,3.015074,0.000000,0.000000,-8.568854,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
15.900260,0.000000,6.341200,2.787953,3.005160,0.000000,0.000000,-8.460915,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.000259,0.000000,6.341200,2.809301,2.995244,0.000000,0.000000,-8.351064,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.100263,0.000000,6.341200,2.830578,3.005160,0.000000,0.000000,-8.318636,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
16.200263,0.000000,6.341200,2.851783,2.995244,0.000000,0.000000,-8.206376,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.300264,0.000000,6.341200,2.872914,3.005160,0.000000,0.000000,-8.171555,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.400264,0.000000,6.341200,2.893971,2.995244,0.000000,0.000000,-8.056920,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.500263,0.000000,6.341200,2.914955,2.985328,0.000000,0.000000,-7.940410,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
16.600267,0.000000,6.341200,2.935863,2.985328,0.000000,0.000000,-7.861703,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
16.700271,0.000000,6.341200,2.956697,2.995244,0.000000,0.000000,-7.821496,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
16.800275,0.000000,6.341200,2.977454,2.985328,0.000000,0.000000,-7.701499,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
16.900276,0.000000,6.341200,2.998135,2.985328,0.000000,0.000000,-7.619327,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.000280,0.000000,6.341200,3.018738,2.965493,0.000000,0.000000,-7.456679,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
17.100280,0.000000,6.341200,3.039263,2.975411,0.000000,0.000000,-7.410520,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.200279,0.000000,6.341200,3.059710,2.975411,0.000000,0.000000,-7.324264,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.300279,0.000000,6.341200,3.080078,2.975411,0.000000,0.000000,-7.236890,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.400279,0.000000,6.341200,3.100367,2.965493,0.000000,0.000000,-7.108738,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.500280,0.000000,6.341200,3.120576,2.965493,0.000000,0.000000,-7.018460,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
