t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
24.800443,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
24.900447,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
25.000452,0.100004,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
25.100452,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
25.200456,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
25.300455,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
25.400459,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
25.500463,0.100004,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
25.600467,0.100004,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
25.700468,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
25.800468,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
25.900472,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
26.000471,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
26.100475,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
26.200479,0.100004,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
26.300483,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
26.400487,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
26.500492,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
26.600496,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
26.700500,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
26.800500,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
26.900499,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
27.000499,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
27.100503,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
27.200504,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
