time,r,snimac1,ym,spir,theta1,theta2,theta3,y0
29.6,0.224191608045016,6.416015625,0,3,0,0,0,0
29.7,0.224893352583965,6.4306640625,0,3,0,0,0,0
29.8,0.225594542220923,6.4404296875,0,3,0,0,0,0
29.9,0.226295175225773,6.376953125,0,3,0,0,0,0
30,0.226995249869773,6.40625,0,3,0,0,0,0
30.1,0.22769476442556,6.416015625,0,3,0,0,0,0
30.2,0.22839371716715,6.4111328125,0,3,0,0,0,0
30.3,0.229092106369946,6.455078125,0,3,0,0,0,0
30.4,0.229789930310744,6.4697265625,0,3,0,0,0,0
30.5,0.230487187267731,6.4111328125,0,3,0,0,0,0
30.6,0.231183875520496,6.40625,0,3,0,0,0,0
30.7,0.231879993350029,6.4208984375,0,3,0,0,0,0
30.8,0.232575539038729,6.4501953125,0,3,0,0,0,0
30.9,0.233270510870406,6.4453125,0,3,0,0,0,0
31,0.233964907130287,6.4013671875,0,3,0,0,0,0
31.1,0.234658726105016,6.42578125,0,3,0,0,0,0
31.2,0.235351966082666,6.4208984375,0,3,0,0,0,0
31.3,0.236044625352735,6.4111328125,0,3,0,0,0,0
31.4,0.236736702206156,6.4208984375,0,3,0,0,0,0
31.5,0.237428194935297,6.416015625,0,3,0,0,0,0
31.6,0.23811910183397,6.3916015625,0,3,0,0,0,0
31.7,0.238809421197429,6.38671875,0,3,0,0,0,0
31.8,0.239499151322381,6.455078125,0,3,0,0,0,0
31.9,0.240188290506984,6.4453125,0,3,0,0,0,0
32,0.240876837050858,6.416015625,0,3,0,0,0,0
32.1,0.24156478925508,6.3916015625,0,3,0,0,0,0
32.2,0.242252145422199,6.416015625,0,3,0,0,0,0
32.3,0.24293890385623,6.396484375,0,3,0,0,0,0
32.4,0.243625062862666,6.4208984375,0,3,0,0,0,0
32.5,0.244310620748477,6.396484375,0,3,0,0,0,0
32.6,0.244995575822118,6.42578125,0,3,0,0,0,0
32.7,0.24567992639353,6.376953125,0,3,0,0,0,0
32.8,0.246363670774146,6.42578125,0,3,0,0,0,0
32.9,0.247046807276894,6.4453125,0,3,0,0,0,0
33,0.247729334216204,6.4599609375,0,3,0,0,0,0
33.1,0.248411249908007,6.435546875,0,3,0,0,0,0
33.2,0.249092552669745,6.4013671875,0,3,0,0,0,0
33.3,0.249773240820371,6.4013671875,0,3,0,0,0,0
33.4,0.250453312680355,6.38671875,0,3,0,0,0,0
33.5,0.251132766571686,6.455078125,0,3,0,0,0,0
33.6,0.25181160081788,6.4208984375,0,3,0,0,0,0
33.7,0.252489813743981,6.4013671875,0,3,0,0,0,0
33.8,0.253167403676566,6.40625,0,3,0,0,0,0
33.9,0.253844368943749,6.376953125,0,3,0,0,0,0
34,0.254520707875186,6.416015625,0,3,0,0,0,0
34.1,0.255196418802077,6.4306640625,0,3,0,0,0,0
34.2,0.255871500057173,6.4306640625,0,3,0,0,0,0
34.3,0.256545949974777,6.376953125,0,3,0,0,0,0
34.4,0.257219766890753,6.3720703125,0,3,0,0,0,0
34.5,0.257892949142524,6.4013671875,0,3,0,0,0,0
34.6,0.258565495069079,6.42578125,0,3,0,0,0,0
34.7,0.259237403010978,6.435546875,0,3,0,0,0,0
34.8,0.259908671310355,6.42578125,0,3,0,0,0,0
34.9,0.260579298310922,6.376953125,0,3,0,0,0,0
35,0.261249282357974,6.376953125,0,3,0,0,0,0
35.1,0.261918621798393,6.4013671875,0,3,0,0,0,0
35.2,0.262587314980648,6.416015625,0,3,0,0,0,0
35.3,0.263255360254807,6.4013671875,0,3,0,0,0,0
35.4,0.263922755972533,6.3916015625,0,3,0,0,0,0
35.5,0.264589500487095,6.3916015625,0,3,0,0,0,0
35.6,0.265255592153367,6.40625,0,3,0,0,0,0
35.7,0.265921029327833,6.40625,0,3,0,0,0,0
35.8,0.266585810368594,6.416015625,0,3,0,0,0,0
35.9,0.267249933635369,6.4306640625,0,3,0,0,0,0
36,0.267913397489498,6.38671875,0,3,0,0,0,0
36.1,0.268576200293952,6.396484375,0,3,0,0,0,0
36.2,0.26923834041333,6.3916015625,0,3,0,0,0,0
36.3,0.269899816213867,6.3916015625,0,3,0,0,0,0
36.4,0.270560626063438,6.435546875,0,3,0,0,0,0
36.5,0.271220768331559,6.40625,0,3,0,0,0,0
36.6,0.271880241389396,6.4111328125,0,3,0,0,0,0
36.7,0.272539043609764,6.3720703125,0,3,0,0,0,0
36.8,0.273197173367135,6.3916015625,0,3,0,0,0,0
36.9,0.273854629037637,6.40625,0,3,0,0,0,0
37,0.274511408999066,6.40625,0,3,0,0,0,0
37.1,0.275167511630881,6.3671875,0,3,0,0,0,0
37.2,0.275822935314215,6.40625,0,3,0,0,0,0
37.3,0.276477678431875,6.4208984375,0,3,0,0,0,0
37.4,0.277131739368347,6.4111328125,0,3,0,0,0,0
37.5,0.277785116509801,6.38671875,0,3,0,0,0,0
37.6,0.278437808244094,6.3720703125,0,3,0,0,0,0
37.7,0.279089812960774,6.3671875,0,3,0,0,0,0
37.8,0.279741129051084,6.376953125,0,3,0,0,0,0
37.9,0.280391754907966,6.396484375,0,3,0,0,0,0
38,0.281041688926065,6.40625,0,3,0,0,0,0
38.1,0.281690929501735,6.3916015625,0,3,0,0,0,0
38.2,0.282339475033039,6.3818359375,0,3,0,0,0,0
38.3,0.282987323919754,6.38671875,0,3,0,0,0,0
38.4,0.283634474563378,6.4111328125,0,3,0,0,0,0
38.5,0.284280925367132,6.4111328125,0,3,0,0,0,0
38.6,0.284926674735962,6.3916015625,0,3,0,0,0,0
38.7,0.285571721076546,6.3916015625,0,3,0,0,0,0
38.8,0.286216062797296,6.3525390625,0,3,0,0,0,0
38.9,0.286859698308362,6.3623046875,0,3,0,0,0,0
39,0.287502626021639,6.376953125,0,3,0,0,0,0
39.1,0.288144844350766,6.3818359375,0,3,0,0,0,0
39.2,0.288786351711134,6.3671875,0,3,0,0,0,0
39.3,0.289427146519886,6.376953125,0,3,0,0,0,0
39.4,0.290067227195925,6.357421875,0,3,0,0,0,0
39.5,0.290706592159915,6.396484375,0,3,0,0,0,0
39.6,0.291345239834288,6.4111328125,0,3,0,0,0,0
39.7,0.291983168643243,6.3720703125,0,3,0,0,0,0
39.8,0.292620377012755,6.3720703125,0,3,0,0,0,0
39.9,0.293256863370575,6.3916015625,0,3,0,0,0,0
40,0.293892626146237,6.3671875,0,3,0,0,0,0
40.1,0.294527663771058,6.416015625,0,3,0,0,0,0
40.2,0.295161974678147,6.3818359375,0,3,0,0,0,0
40.3,0.295795557302405,6.3623046875,0,3,0,0,0,0
40.4,0.29642841008053,6.3818359375,0,3,0,0,0,0
40.5,0.297060531451019,6.3623046875,0,3,0,0,0,0
40.6,0.297691919854177,6.40625,0,3,0,0,0,0
40.7,0.298322573732116,6.396484375,0,3,0,0,0,0
40.8,0.298952491528759,6.3916015625,0,3,0,0,0,0
40.9,0.299581671689848,6.3720703125,0,3,0,0,0,0
41,0.300210112662942,6.357421875,0,3,0,0,0,0
41.1,0.300837812897426,6.357421875,0,3,0,0,0,0
41.2,0.301464770844512,6.416015625,0,3,0,0,0,0
41.3,0.302090984957244,6.3916015625,0,3,0,0,0,0
41.4,0.302716453690501,6.38671875,0,3,0,0,0,0
41.5,0.303341175501,6.38671875,0,3,0,0,0,0
41.6,0.303965148847303,6.38671875,0,3,0,0,0,0
41.7,0.304588372189817,6.396484375,0,3,0,0,0,0
41.8,0.305210843990801,6.40625,0,3,0,0,0,0
41.9,0.305832562714368,6.3818359375,0,3,0,0,0,0
42,0.306453526826488,6.3623046875,0,3,0,0,0,0
42.1,0.307073734794995,6.3525390625,0,3,0,0,0,0
42.2,0.307693185089586,6.3916015625,0,3,0,0,0,0
42.3,0.30831187618183,6.40625,0,3,0,0,0,0
42.4,0.308929806545167,6.4111328125,0,3,0,0,0,0
42.5,0.309546974654917,6.3623046875,0,3,0,0,0,0
42.6,0.310163378988278,6.34765625,0,3,0,0,0,0
42.7,0.310779018024334,6.34765625,0,3,0,0,0,0
42.8,0.311393890244056,6.3671875,0,3,0,0,0,0
42.9,0.312007994130309,6.396484375,0,3,0,0,0,0
43,0.312621328167853,6.3818359375,0,3,0,0,0,0
43.1,0.313233890843345,6.34765625,0,3,0,0,0,0
43.2,0.31384568064535,6.357421875,0,3,0,0,0,0
43.3,0.314456696064337,6.3671875,0,3,0,0,0,0
43.4,0.315066935592685,6.376953125,0,3,0,0,0,0
43.5,0.315676397724689,6.3720703125,0,3,0,0,0,0
43.6,0.316285080956562,6.3623046875,0,3,0,0,0,0
43.7,0.316892983786439,6.34765625,0,3,0,0,0,0
43.8,0.31750010471438,6.3525390625,0,3,0,0,0,0
43.9,0.318106442242375,6.40625,0,3,0,0,0,0
44,0.318711994874345,6.376953125,0,3,0,0,0,0
44.1,0.31931676111615,6.396484375,0,3,0,0,0,0
44.2,0.319920739475589,6.3720703125,0,3,0,0,0,0
44.3,0.320523928462406,6.3720703125,0,3,0,0,0,0
