t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
23.546,0,6.3412,4.178482,3.529731,0,0,-7.983058,0,0,1,1.48,2.77,6
23.646,0,6.3412,4.1935,3.528646,0,0,-7.873232,0,0,1,1.48,2.77,6
23.746,0,6.3412,4.208435,3.528646,0,0,-7.766952,0,0,1,1.48,2.77,6
23.846,0,6.3412,4.223286,3.528284,0,0,-7.658518,0,0,1,1.48,2.77,6
23.946,0,6.3412,4.238053,3.525391,0,0,-7.539225,0,0,1,1.48,2.77,6
24.045,0,6.3412,4.252737,3.523944,0,0,-7.424817,0,0,1,1.48,2.77,6
24.146,0,6.3412,4.267337,3.527199,0,0,-7.328421,0,0,1,1.48,2.77,6
24.246,0,6.3412,4.281854,3.524306,0,0,-7.20697,0,0,1,1.48,2.77,6
24.346,0,6.3412,4.296288,3.521774,0,0,-7.086079,0,0,1,1.48,2.77,6
24.446,0,6.3412,4.310639,3.519242,0,0,-6.96433,0,0,1,1.48,2.77,6
24.546,0,6.3412,4.324908,3.517072,0,0,-6.843176,0,0,1,1.48,2.77,6
24.645,0,6.3412,4.339094,3.518518,0,0,-6.735668,0,0,1,1.48,2.77,6
24.746,0,6.3412,4.353199,3.523582,0,0,-6.642066,0,0,1,1.48,2.77,6
24.846,0,6.3412,4.367221,3.524306,0,0,-6.530796,0,0,1,1.48,2.77,6
24.946,0,6.3412,4.381162,3.519965,0,0,-6.398667,0,0,1,1.48,2.77,6
25.046,0,6.3412,4.395021,3.51888,0,0,-6.278605,0,0,1,1.48,2.77,6
25.146,0,6.3412,4.4088,3.520327,0,0,-6.167949,0,0,1,1.48,2.77,6
25.246,0,6.3412,4.422497,3.515625,0,0,-6.03216,0,0,1,1.48,2.77,6
25.346,0,6.3412,4.436113,3.518157,0,0,-5.924339,0,0,1,1.48,2.77,6
25.446,0,6.3412,4.449649,3.519242,0,0,-5.810279,0,0,1,1.48,2.77,6
25.546,0,6.3412,4.463105,3.510923,0,0,-5.658051,0,0,1,1.48,2.77,6
25.646,0,6.3412,4.476481,3.512731,0,0,-5.545127,0,0,1,1.48,2.77,6
25.746,0,6.3412,4.489778,3.517433,0,0,-5.443288,0,0,1,1.48,2.77,6
