t,r,y,ym,u,theta1,theta2,theta3
1374.4,5.1956868334186,5.29235474861137,5.30986327679912,7.74373560563478,0.271578948403911,0.0227957084825992,1.21380876627651
1374.5,5.19496384389409,5.29179796306852,5.30929277615681,7.74284389020185,0.271592104242756,0.022795688872628,1.21382178178123
1374.6,5.19424037331568,5.29124044896063,5.30872151236532,7.74195124023721,0.271605248861714,0.022795669229943,1.21383478569309
1374.7,5.19351642346846,5.29068220770741,5.30814948683418,7.74105765801665,0.271618382233996,0.022795649554529,1.21384777798672
1374.8,5.1927919961387,5.29012324073043,5.30757670097482,7.74016314581823,0.271631504332806,0.0227956298467284,1.21386075863674
1374.9,5.19206709311385,5.28956354945316,5.30700315620053,7.73926770592253,0.271644615131365,0.0227956101065288,1.21387372761779
1375,5.19134171618254,5.28900313530091,5.30642885392646,7.73837134061242,0.27165771460289,0.0227955903342709,1.21388668490452
1375.1,5.19061586713457,5.28844199970088,5.30585379556966,7.73747405217323,0.271670802720612,0.0227955705299452,1.21389963047158
1375.2,5.1898895477609,5.28788014408213,5.30527798254902,7.73657584289261,0.271683879457759,0.0227955506938908,1.21391256429363
1375.3,5.18916275985364,5.28731756987557,5.30470141628531,7.73567671506061,0.271696944787573,0.0227955308261009,1.21392548634534
1375.4,5.18843550520608,5.28675427851397,5.30412409820114,7.73477667096964,0.271709998683294,0.0227955109269132,1.21393839660139
1375.5,5.18770778561264,5.28619027143197,5.30354602972099,7.73387571291448,0.271723041118174,0.0227954909963234,1.21395129503648
1375.6,5.1869796028689,5.28562555006603,5.30296721227119,7.73297384319223,0.271736072065465,0.0227954710346679,1.21396418162529
1375.7,5.18625095877157,5.28506011585446,5.30238764727991,7.73207106410238,0.271749091498431,0.0227954510419449,1.21397705634254
1375.8,5.18552185511852,5.28449397023743,5.30180733617717,7.73116737794671,0.271762099390334,0.0227954310184896,1.21398991916295
1375.9,5.18479229370874,5.28392711465693,5.30122628039482,7.7302627870294,0.271775095714449,0.0227954109643025,1.21400277006122
1376,5.18406227634234,5.28335955055679,5.30064448136658,7.72935729365689,0.27178808044405,0.0227953908797175,1.21401560901211
1376.1,5.18333180482057,5.28279127938267,5.30006194052796,7.728450900138,0.271801053552425,0.0227953707647377,1.21402843599034
1376.2,5.18260088094579,5.28222230258203,5.29947865931634,7.72754360878381,0.271814015012859,0.0227953506196957,1.21404125097068
1376.3,5.1818695065215,5.2816526216042,5.29889463917089,7.72663542190778,0.271826964798651,0.0227953304445969,1.21405405392787
1376.4,5.18113768335227,5.28108223790029,5.29830988153263,7.72572634182561,0.271839902883097,0.0227953102397727,1.2140668448367
1376.5,5.18040541324382,5.28051115292323,5.2977243878444,7.72481637085533,0.271852829239509,0.0227952900052311,1.21407962367193
1376.6,5.17967269800294,5.27993936812777,5.29713815955083,7.72390551131724,0.271865743841195,0.022795269741302,1.21409239040835
1376.7,5.17893953943755,5.27936688497047,5.29655119809839,7.72299376553398,0.271878646661477,0.0227952494479958,1.21410514502075
1376.8,5.17820593935662,5.27879370490968,5.29596350493535,7.72208113583039,0.271891537673677,0.0227952291256412,1.21411788748396
1376.9,5.17747189957026,5.27821982940554,5.29537508151178,7.72116762453366,0.27190441685113,0.022795208774251,1.21413061777276
1377,5.17673742188963,5.27764525992002,5.29478592927956,7.72025323397318,0.271917284167167,0.0227951883941527,1.21414333586199
